채용정보,아파트명,근무지,등록일,마감일
동우씨엠(주)전기팀장,센트로팰리스,대구시 중구 대봉로 260(대봉동),2025-07-15,채용시까지
기전과장 구인<긴급>,관음타운,대구 북구 영송로 63,2025-07-15,채용시까지
[나라솔루션]봉덕한라하우젠트 격일제 전기과장 구인공고,봉덕한라하우젠트,대구시 남구 봉덕동 491-7,2025-07-15,채용시까지
(주)굿모닝이엔씨★긴급★관리과장,유천포스코더샵,대구 달서구 달서대로 67,2025-07-14,채용시까지
【상일종합관리】과장 구인(긴급!!!),오페라코오롱하늘채,대구시 북구 중앙대로 540,2025-07-14,2025-07-27
(주)목성엔지니어링** 목성 침산화성파크드림 방재(소방)과장 채용 공고 **,침산화성파크드림,대구광역시 북구 성북로70,2025-07-14,2025-07-21
(주)제산관리팀장,월성e편한세상,대구시 달서구 조암남로 10,2025-07-14,2025-07-18
(주)목성엔지니어링**목성 대우트럼프월드수성 기전(민원)주임 구인공고**,대우트럼프월드수성,대구광역시 수성구 동대구로 59,2025-07-11,2025-07-18
성보티씨에스관리과장,동대구역골드클레스오피스텔,대구시 동구 신암남로 72,2025-07-11,채용시까지
(주)목성엔지니어링** 목성 대실역이편한세상 기전과장 구인공고**,대실역이편한세상,대구 달성군 죽곡 1길 42,2025-07-11,2025-07-18
(주)한국티씨엠관리실장,캐슬골드파크4단지,수성구 황금동,2025-07-11,채용시까지
(주)굿모닝이엔씨관리과장,각산푸르지오2단지,대구광역시 동구 경안로 822,2025-07-11,채용시까지
【상일종합관리】과장 구인,중리롯데캐슬,대구시 서구 국채보상로 34길 12,2025-07-11,2025-07-25
목성엔지니어링시설과장 구인공고,화원한샘타운,대구 달성군 화원읍 사문진로 6길 17,2025-07-10,2025-07-19
자치관리기전과장,노변동서우방타운,대구광역시 수성구 노변공원로 22,2025-07-10,2025-07-15
【상일종합관리】과장 구인,대봉교역금호어울림에듀리버,대구 남구 대봉로30길 12,2025-07-10,2025-07-24
[명성티엠에스]시설과장,동대구 푸르지오 브리센트,대구시 동구 효목로5길 55,2025-07-10,채용시까지
(주)한국티씨엠전기과장 구인,각산태영데시앙,대구 동구 반야월북로 123,2025-07-08,채용시까지
