아파트명,공고수
월배1차 아이파크,15
진천역AK그랑폴리스2차,11
오페라코오롱하늘채,11
대구오페라스위첸,9
경산귀빈타운,9
해링턴플레이스동대구,9
우방드림시티,9
창신황제타운,9
대곡역화성파크드림,8
이시아폴리스더샵3차,8
남산롯데캐슬 센트럴스카이,8
율하리버파크,8
범어동일하이빌,7
성광우방타운,7
죽곡휴먼시아1단지,7
북구청역 푸르지오 에듀포레,7
월성서한이다음,7
대곡한라하우젠트,7
죽곡청아람리슈빌4단지,7
장기파랑새마을,7
영천인터불고코아루,7
월성삼정그린코아에듀파크,7
수성구 지역,6
테크노폴리스예미지더센트럴,6
수성센트럴화성파크드림,6
오페라트루엘시민의숲,6
영천문내 대동다숲아파트,6
아름다운나날2단지,6
옥포대성베르힐6단지,6
시지코오롱하늘채스카이뷰,6
해링턴플레이스 반월당2차,6
해링턴플레이스 더반월당,6
경산하양코아루1차,6
범물우방미진하이츠,6
대구역 제일풍경채위너스카이,6
반월당아너스제네스 오피스텔,6
대곡역그린빌,5
국가산단디에트르더센트럴,5
혁신도시서한이다음3차,5
서대구역서한이다음더퍼스트,5
성당태왕아너스메트로,5
수성더팰리스푸르지오더샵,5
SD아이프라임강북,5
빌리브스카이,5
화원파크뷰 우방아이유쉘,5
각산서한이다음,5
침산화성파크드림,5
시지삼주한라협화타운,5
신당한화꿈에그린,5
대구역제일풍경채위너스카이,5
대실역이편한세상,5
대우트럼프월드수성,5
신세계타운,5
월배라온프라이빗디엘,5
엑소디움센트럴동인,5
용계역푸르지오아츠베르1단지,5
죽전역해링턴플레이스더베스트,5
더샵수성라크에르,5
동우 / 수성범어W,5
장원맨션아파트,5
달성파크푸르지오 힐스테이트,5
달서SK VIEW,5
국가산단줌파크,5
신서신일해피트리,4
청운맨션(자치관리),4
혁신천년나무6단지,4
평리푸르지오,4
칠곡왜관월드메르디앙웰리지,4
빌리브죽전,4
범어센트럴푸르지오 오피스텔 상가,4
경산부영조은마을,4
하양평광타운,4
과학마을청아람,4
노변동서우방타운,4
한신더휴이스턴팰리스,4
서대구역센텀화성파크드림,4
월드마크상가,4
신천LH,4
강창1차삼산타운,4
불로서한이다음,4
복현3차서한이다음,4
동대구에일린의뜰,4
봉덕한라하우젠트,4
윤성1차타운,4
우방죽전타운,4
대평그린빌,4
별메마을,4
동우 / 녹원맨션,4
연경숲아파트,4
수성코오롱하늘채,4
다산월드메르디앙아파트,4
만촌역태왕디아너스애비뉴,4
세천한라비발디,4
성서주공7단지,4
달성우신미가뷰,4
수성우방팔레스,4
동화훼밀리타운,4
시지 청구전원타운,4
유천포스코더샵,4
오페라삼정그린코아더베스트,4
영남네오빌,4
수성태영데시앙,4
비산한신휴플러스,3
빌리브루센트,3
e편한세상월배,3
범어삼성쉐르빌,3
빌리브파크뷰,3
삼익뉴타운,3
서대구센트럴자이아파트,3
경산 삼북주공아파트,3
경산하양제일풍경채,3
경산하양우미린,3
평리푸르지오 3단지,3
나래마을,3
반월당아너스제네스오피스텔,3
범물서한화성타운,3
반월당역서한포레스트,3
각산푸르지오2단지,3
강변일성트루엘,3
강북태왕아너스더퍼스트,3
경산신대e-편한세상,3
칠곡우방타운,3
대구역센트럴자이,3
대구역센트럴대원칸타빌,3
테크노중흥S클래스포디움,3
칠곡동화골든빌,3
달성화성파크드림,3
수성3가롯데캐슬,3
수성골드클래스더센텀,3
만촌역태왕디아너스,3
경산하양파인앤유더퍼스트,3
성서푸른마을,3
성서한마음타운,3
성암산신동아파밀리에,3
수성더팰리스푸르지오더샵1단지,3
두류중흥S-클래스센텀포레,3
수성뷰웰리버파크,3
동촌역태왕아너스르네상스,3
칠곡그린빌3주공,3
대구역자이더스타,3
대곡사계절타운,3
대구역 한라하우젠트 센트로,3
지산영남맨션,3
중산자이 1단지,3
대신센트럴자이,3
대실역리슈빌3단지,3
수성자이르네,3
시지4차 태왕레전드,3
대구역오페라W,3
예다인아파트,3
안심역서원프레시빌,3
안심역우방아이유쉘,3
신천역센트럴리버파크,3
동우 / 월배역 라온프라이빗,3
더센트럴화성파크드림,3
더트루엘수성,3
동대구 푸르지오 브리센트,3
동대구2차비스타동원,3
율하휴먼시아6단지,3
율하휴먼시아15단지,3
동대구역센텀화성파크드림,3
동대구역골드클레스오피스텔,3
용산롯데캐슬그랜드,3
동우 / 만촌화성파크스위트,3
월배1차 아이파크 / 『 굿모닝이엔씨 』,3
월드마크웨스트엔드,3
동우 / 대구역서희스타힐스,3
월배삼정그린코아포레스트,3
월성센트로파크,3
힐스테이트만촌엘퍼스트,3
복현2차서한타운,3
